image_id,image_name,strategy,budget,psnr,ssim
2,synthetic_0002.jpg,dct_coefficients,1024,29.182658606758313,0.5436420280601946
2,synthetic_0002.jpg,mean_color_blocks,64,28.419030947252224,0.4030071410102565
2,synthetic_0002.jpg,mean_color_blocks,96,28.423970053424377,0.40332330575866343
2,synthetic_0002.jpg,mean_color_blocks,124,28.424042840475742,0.40319942039671425
2,synthetic_0002.jpg,mean_color_blocks,256,28.432006679974254,0.404594028101179
2,synthetic_0002.jpg,mean_color_blocks,512,28.365773368029636,0.40125355879240693
2,synthetic_0002.jpg,mean_color_blocks,1024,28.468362410917983,0.4132020321340044
3,synthetic_0003.jpg,tiny_pixel_grid,64,26.67951344387778,0.37652193927158867
3,synthetic_0003.jpg,tiny_pixel_grid,96,26.68069209666357,0.37633899506800406
3,synthetic_0003.jpg,tiny_pixel_grid,124,26.684874054179346,0.37647772481077113
3,synthetic_0003.jpg,tiny_pixel_grid,256,26.69605074817996,0.37747544468836963
3,synthetic_0003.jpg,tiny_pixel_grid,512,26.72113344712833,0.38085983666319173
3,synthetic_0003.jpg,tiny_pixel_grid,1024,26.763594712392198,0.38866779263019097
3,synthetic_0003.jpg,dct_coefficients,64,26.744815252959665,0.39421379483712515
3,synthetic_0003.jpg,dct_coefficients,96,26.77783648097534,0.4016467449829129
3,synthetic_0003.jpg,dct_coefficients,124,26.805857796693417,0.40782971866165124
3,synthetic_0003.jpg,dct_coefficients,256,26.92376991917932,0.4329310015176106
3,synthetic_0003.jpg,dct_coefficients,512,27.12606393762623,0.472706385048143
3,synthetic_0003.jpg,dct_coefficients,1024,27.462587791523188,0.5308261122129544
3,synthetic_0003.jpg,mean_color_blocks,64,26.671622248215105,0.37650203564793117
3,synthetic_0003.jpg,mean_color_blocks,96,26.678706349318226,0.3767761366790316
3,synthetic_0003.jpg,mean_color_blocks,124,26.674636476347835,0.3768010464167888
3,synthetic_0003.jpg,mean_color_blocks,256,26.688937688013144,0.37851818714202684
3,synthetic_0003.jpg,mean_color_blocks,512,26.63085899239828,0.3748084338735936
3,synthetic_0003.jpg,mean_color_blocks,1024,26.710069830788402,0.38692551434966305
4,synthetic_0004.jpg,tiny_pixel_grid,64,26.787323068623135,0.3777917142609683
4,synthetic_0004.jpg,tiny_pixel_grid,96,26.78952650633125,0.377841388278836
4,synthetic_0004.jpg,tiny_pixel_grid,124,26.793639293147848,0.3780797153155408
4,synthetic_0004.jpg,tiny_pixel_grid,256,26.800840851338727,0.3783362650669823
4,synthetic_0004.jpg,tiny_pixel_grid,512,26.825565672838174,0.38157475404662344
4,synthetic_0004.jpg,tiny_pixel_grid,1024,26.868313622738448,0.3894815351035383
4,synthetic_0004.jpg,dct_coefficients,64,26.849672172933744,0.3951743500174518
4,synthetic_0004.jpg,dct_coefficients,96,26.884680509246518,0.4031237638337873
4,synthetic_0004.jpg,dct_coefficients,124,26.910948731986245,0.40919850249745066
4,synthetic_0004.jpg,dct_coefficients,256,27.02946512744097,0.4346449524248757
4,synthetic_0004.jpg,dct_coefficients,512,27.226214650270304,0.4736792146446094
4,synthetic_0004.jpg,dct_coefficients,1024,27.564276339205634,0.5326285342079179
4,synthetic_0004.jpg,mean_color_blocks,64,26.77847647319647,0.3778185202455557
4,synthetic_0004.jpg,mean_color_blocks,96,26.783497438548757,0.3781059489552178
4,synthetic_0004.jpg,mean_color_blocks,124,26.78744563264274,0.378574306240101
4,synthetic_0004.jpg,mean_color_blocks,256,26.791364316047762,0.37949001871437194
4,synthetic_0004.jpg,mean_color_blocks,512,26.721643135207987,0.3748908552250172
